Place,Name,Team,Sex,Event,Division,WeightClassKg,Equipment,BirthDate,BirthYear,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
1,Mancosu Samuel,Mac3 More Active Cus Po,M,SBD,Sub-Junior,59,Raw,,2008,57.14,-183.0,-193.0,196.0,196.0,110.0,-115.0,-115.0,-115.0,-187.5,197.5,205.0,197.5,508.5
2,Vetri Samuele,Barbarian's Power Club,M,SBD,Sub-Junior,59,Raw,,2008,58.70,-165.0,-172.5,180.0,180.0,105.0,-110.0,-112.5,-112.5,-170.0,180.0,180.0,170.0,462.5
3,Iati' Giovanni,Strengthlab - Torino -,M,SBD,Sub-Junior,59,Raw,,2009,57.32,-110.0,-120.0,130.0,120.0,60.0,-65.0,-70.0,-65.0,-135.0,145.0,152.5,152.5,337.5
1,Accardi Nicolas,Vikings Veneto Pl -baone,M,SBD,Sub-Junior,66,Raw,,2009,64.67,-187.5,-197.5,205.0,197.5,102.5,-107.5,-110.0,-110.0,-235.0,247.5,257.0,257.0,564.5
2,Castino Pietro,Strengthlab - Torino -,M,SBD,Sub-Junior,66,Raw,,2009,64.46,-170.0,-182.5,192.5,182.5,85.0,-92.5,-100.0,-92.5,-165.0,172.5,177.5,177.5,452.5
3,Cabri Luca,Asd Pro Viribus-prato-,M,SBD,Sub-Junior,66,Raw,,2008,64.90,-155.0,-165.0,170.0,165.0,87.5,-92.5,-100.0,-92.5,-175.0,182.5,192.5,182.5,440.0
1,Mataldi Mattia,S.s. Lazio Powerlifting,M,SBD,Sub-Junior,74,Raw,,2008,73.00,-217.5,-227.5,-232.5,-232.5,-137.5,-142.5,-146.0,-146.0,-232.5,-242.5,-247.5,-247.5,626.0
2,Giannarelli Mattia,Barbarian's Power Club,M,SBD,Sub-Junior,74,Raw,,2008,71.79,-200.0,-210.0,-215.0,-215.0,-102.5,-107.5,-110.0,-110.0,-200.0,-215.0,-230.0,-215.0,540.0
3,Stellin Davide,Strengthlab - Torino -,M,SBD,Sub-Junior,74,Raw,,2009,72.83,-175.0,-182.5,-192.5,-192.5,-92.5,-100.0,-105.0,-100.0,-210.0,-220.0,-230.0,-230.0,522.5
4,Gris Christopher,Barbarian's Power Club,M,SBD,Sub-Junior,74,Raw,,2009,67.43,-175.0,-182.5,-187.5,-187.5,-115.0,-120.0,-120.0,-120.0,-170.0,-185.0,-195.0,-185.0,492.5
