Name,BirthYear
A. Garau,
Abdel Muhdi Oatawneh,1997
Abdelfattah Rezk,
Abdellah Bazi,
Abdellah Bazi,1994
Abel Petrigliano,1993
Achille Marrone,
Achille Marrone,1962
Ad van der Ven,
Adam Berardi,
Adamo Chiriaco,
Adamo Michael,
Addolora Germoglio,
Addolorata Germoglio,1974
Adelina Palermino,1998
Adrian Pony,
Adriana Codreanu,1998
Adriana Korunkova,
Adriana Staibano,2007
Adriano Antonio Di Carlo,
Adriano Crivellari,
Adriano Pace,
Adriano Stabile,
Adriano Steffanini,1990
Agata Maria Chiara Scuto,
Agata Maria Chiara Scuto,1980
Agnese Peciarolo,
Agnese Peciarolo,1993
Agnese Togni,2001
Agostino Carminati,
Agostino Carminati,1986
Agostino Tartaro,
Agostinoni Giorgio,
Ahmed Abdelsalam,
Ahmed Abdelsalam,2004
Ahmed Mohsen,1994
Aida Cupi,
Aida Cupi,1996
Aida Kukoleca,1997
Aisha Muraca,2006
AJ Mangoba,
Alan Barboncini,
Alan Baroncini,
Alan Bertolini,
Alan Bertolini,1983
Alan Raggini,2006
Alan Valcarenghi,2000
Alba Ongaro,1991
Alberino Mutualipassi,
Alberino Mutualpassi,
Albert Cristian Birca,
Albert Cristian Birca,2004
Alberto Acquaroni,
Alberto Acquaroni,2002
Alberto Ameglio,1999
Alberto Bettarel,
Alberto Bettarel,1993
Alberto Biasioli,
Alberto Bocchese,
Alberto Bocchese,1985
Alberto Botta,
Alberto Cason,1996
Alberto Casson,1996
Alberto Castellucci,
Alberto Castellucci,1972
Alberto Cipolla,
Alberto Codato,
Alberto Codato,1991
Alberto D'Alessio,
Alberto D'Onofrio,
Alberto D'Onofrio,1997
Alberto Dal Pozzo,
Alberto Dall,
Alberto Dall'Aglio,
Alberto Dall'Aglio,1967
Alberto Danieletto,
Alberto Danieletto,2000
Alberto Famiano,
Alberto Famiano,1986
Alberto Farofalo,
Alberto Ferrari,
Alberto Ferrari,1993
Alberto Franceschini,
Alberto Gandaglia,1999
Alberto Garofalo,
Alberto Garofalo,1986
Alberto Gatti,
Alberto Gennari,2004
Alberto Govi,
Alberto Govi,1994
Alberto Leto,1988
Alberto Levada,1995
Alberto Lo Ricco,1984
Alberto Loro,1995
Alberto Lovino,
Alberto Manolli,
Alberto Manolli,2005
Alberto Martini,1995
Alberto Mattanza,
Alberto Mattanza,1995
Alberto Messina,
Alberto Molino,
Alberto Molino,1970
Alberto Piretti,
Alberto Piretti,2004
Alberto Prevedi,
Alberto Reboldi,
Alberto Reboldi,1990
Alberto Rizzardi,
Alberto Rodriguez Carlos,
Alberto Rodriguez Carlos,1998
Alberto Rossi,1994
Alberto Savi,1993
Alberto Scano,
Alberto Scano,2002
Alberto Schiavon,
Alberto Sciavilla,1992
Alberto Soldi,
Alberto Taddia,
Alberto Vai,
Alberto Vai,1964
Alberto Visconti,
Alberto Visconti,1994
Alberto Zaramella,
Alberto Zaramella,1998
Aldebrando Lucci,
Aldo Battistel,
Aldo Bosco Lo Giudice,
Aldo Bosco Lo Giudice,2001
Aldo Loro,
Aldo Prizzi,2004
Aldo Rubinelli,
Aldo Rushani,
Aldo Rushani,1990
Alen Salaj,
Alesandro Gobbi,
Alesandro Ursi,1976
Alessand Bombardieri,
Alessand Bombardieri,1987
Alessandra Basso,1993
Alessandra Caruso,
Alessandra Caruso,1995
Alessandra Casagrande,
Alessandra Casciola,1998
Alessandra Cernigliaro,
Alessandra Cernigliaro,1995
Alessandra Di Manno,
Alessandra Di Manno,2003
Alessandra Disha,
Alessandra Gentilucci,
Alessandra Gentilucci,2001
Alessandra Giordano,2000
Alessandra Mancin,
Alessandra Mancin,1983
Alessandra Menaglio,1992
Alessandra Nurra,1977
Alessandra Pitzalis,2002
